"REF_DATE","GEO","DGUID","Type of materials diverted","Sources of materials prepared for recycling","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Newfoundland and Labrador","2016A000210","Construction, renovation and demolition","Residential sources of diverted materials","Tonnes","287","units","0","v1248315174","2.13.2","0","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Construction, renovation and demolition","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315175","2.13.3","0","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Organics","All sources of diverted materials","Tonnes","287","units","0","v1248315176","2.14.1","905","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Organics","Residential sources of diverted materials","Tonnes","287","units","0","v1248315177","2.14.2","","x","","","0"
"2018","Newfoundland and Labrador","2016A000210","Organics","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315178","2.14.3","","x","","","0"
"2018","Newfoundland and Labrador","2016A000210","Other materials","All sources of diverted materials","Tonnes","287","units","0","v1248315179","2.15.1","0","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Other materials","Residential sources of diverted materials","Tonnes","287","units","0","v1248315180","2.15.2","0","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Other materials","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315181","2.15.3","0","","","","0"
"2018","Prince Edward Island","2016A000211","All materials diverted","All sources of diverted materials","Tonnes","287","units","0","v1248315182","3.1.1","56795","","","","0"
"2018","Prince Edward Island","2016A000211","All materials diverted","Residential sources of diverted materials","Tonnes","287","units","0","v1248315183","3.1.2","","..","","","0"
"2018","Prince Edward Island","2016A000211","All materials diverted","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315184","3.1.3","","..","","","0"
"2018","Prince Edward Island","2016A000211","All paper fibres","All sources of diverted materials","Tonnes","287","units","0","v1248315185","3.2.1","12214","","","","0"
